"row","Id","Attrition","Age","CivilStatus","Education","Salary","ContractType","MonthsAtCompany","NumSalaryChanges","NumJobPositionChanges","HadPromotion","Occupation","Insalubrity","Periculosity","UnionMember","Stability","HomeDistance","HomeTime","HasDependents"
"1864",3597,"No",34,"United","3",5.47,"1",84,1,0,"No","13","Yes","No","Yes","Yes",1,4,"Yes"
"1865",3599,"No",30,"Single","3",5.47,"1",84,1,0,"No","13","Yes","No","No","Yes",8,17,"Yes"
"1866",3650,"No",62,"United","3",3.5,"1",84,1,0,"No","22","No","No","No","No",19,44,"No"
"1867",3660,"No",40,"United","5",5.39,"1",84,1,0,"No","1","No","No","No","No",4,12,"Yes"
"1868",3798,"No",42,"Single","3",6.12,"1",82,0,0,"No","27","No","No","No","No",5,16,"No"
"1869",4016,"No",28,"Single","3",5.47,"1",79,1,0,"No","9","Yes","No","No","No",10,20,"Yes"
"1870",4559,"No",45,"Single","3",5.43,"1",111,0,0,"No","13","Yes","No","No","Yes",3,6,"No"
"1871",2683,"No",33,"Single","3",5.43,"1",119,1,0,"No","13","Yes","No","No","No",2,8,"No"
"1872",6891,"No",31,"United","5",12.63,"1",88,0,0,"No","13","Yes","No","No","No",11,25,"No"
"1873",6918,"No",40,"Single","2",6.8,"1",89,1,0,"No","29","No","No","No","Yes",8,44,"No"
"1874",5466,"No",42,"Single","3",7.25,"1",104,2,1,"No","10","No","No","No","No",11,20,"No"
"1875",3399,"No",34,"United","4",12.62,"1",118,2,0,"No","9","No","No","No","No",9,24,"No"
"1876",6983,"No",36,"United","3",5.47,"1",88,1,0,"No","13","Yes","No","No","Yes",15,23,"Yes"
"1877",4895,"No",54,"Single","5",11.37,"1",109,4,1,"No","22","No","No","No","No",1,2,"No"
"1878",4051,"No",48,"United","3",5.43,"1",114,0,0,"No","13","Yes","No","No","No",6,9,"No"
"1879",4205,"No",45,"Single","5",32.92,"10",116,5,2,"No","20","No","No","Yes","No",2,8,"No"
"1880",5825,"No",40,"Single","3",5.47,"1",101,2,2,"Yes","13","Yes","No","No","Yes",17,21,"Yes"
"1881",4337,"No",48,"Single","5",14.72,"1",113,1,0,"No","11","Yes","No","No","No",16,22,"No"
"1882",4376,"No",43,"United","3",5.47,"1",112,1,0,"No","13","Yes","No","Yes","No",5,12,"No"
"1883",4393,"No",38,"Single","3",5.47,"1",112,1,0,"No","13","Yes","No","No","No",4,10,"No"
"1884",4428,"No",34,"Single","3",5.47,"1",111,1,0,"No","13","Yes","No","No","Yes",8,16,"Yes"
"1885",4439,"No",38,"Desunited","3",5.47,"1",111,1,0,"No","13","Yes","No","Yes","No",0,3,"No"
"1886",4440,"No",31,"Single","3",10.75,"1",111,2,1,"No","27","Yes","No","Yes","Yes",1,4,"Yes"
"1887",4516,"No",34,"United","5",19.32,"10",110,1,2,"No","23","No","No","Yes","No",1,5,"No"
"1888",4548,"No",44,"United","3",5.01,"1",111,1,1,"No","9","Yes","No","No","No",2,8,"No"
"1889",4603,"No",32,"Single","5",27.77,"1",115,3,1,"Yes","1","No","No","No","No",5,11,"No"
"1890",4604,"No",43,"United","2",4.73,"1",115,1,0,"No","27","No","No","No","No",5,14,"No"
"1891",4605,"No",32,"Single","4",8.63,"1",114,2,1,"Yes","13","No","No","No","Yes",4,11,"Yes"
"1892",4625,"No",34,"United","3",5.47,"1",110,1,0,"No","13","Yes","No","Yes","Yes",3,9,"Yes"
"1893",4651,"No",35,"Desunited","3",5.47,"1",110,1,0,"No","13","Yes","No","No","No",8,20,"No"
"1894",4699,"No",34,"Single","5",23.62,"10",109,1,0,"No","23","No","No","Yes","Yes",12,22,"Yes"
"1895",4822,"No",39,"United","5",20.23,"10",109,1,1,"No","23","No","No","No","No",2,7,"Yes"
"1896",4770,"No",34,"United","5",20.37,"10",109,1,0,"No","21","No","No","Yes","Yes",4,10,"Yes"
"1897",4764,"No",39,"Single","5",20.37,"10",109,1,2,"Yes","23","No","No","No","No",5,12,"No"
"1898",4713,"No",33,"Single","3",6.12,"1",111,1,0,"No","27","No","No","No","Yes",5,16,"No"
"1899",4739,"No",34,"United","5",30.95,"10",110,1,0,"No","23","No","No","No","No",2,9,"Yes"
"1900",4744,"No",33,"Single","5",30.95,"10",110,2,0,"No","23","No","No","No","Yes",2,7,"Yes"
"1901",4745,"No",44,"United","5",30.95,"10",110,1,0,"No","23","No","No","No","No",2,8,"Yes"
"1902",4746,"No",45,"United","5",22.67,"10",110,1,0,"No","23","No","No","No","No",6,15,"No"
"1903",4748,"No",34,"United","5",22.67,"10",110,0,0,"No","23","No","No","No","No",3,10,"Yes"
"1904",4774,"No",28,"Single","5",17.71,"1",110,3,2,"No","6","No","No","No","No",5,14,"No"
"1905",4721,"No",42,"United","5",13.33,"10",109,1,0,"No","23","No","No","Yes","No",1,4,"Yes"
"1906",4732,"No",49,"United","5",11.43,"1",110,5,1,"No","10","No","No","No","No",1,3,"No"
"1907",4733,"No",46,"United","5",8.48,"10",110,0,0,"No","23","No","No","No","No",0,0,"Yes"
"1908",4791,"No",36,"Single","6",24.62,"10",110,1,0,"No","23","No","No","Yes","Yes",16,28,"Yes"
"1909",4771,"No",50,"United","5",12.51,"10",109,1,1,"No","23","No","No","Yes","No",3,9,"No"
"1910",4772,"No",58,"Desunited","6",12,"1",109,1,1,"No","9","No","No","Yes","No",1,3,"No"
"1911",4787,"No",58,"United","3",6.51,"1",110,1,0,"No","22","No","No","No","No",2,8,"No"
"1912",4816,"No",54,"Single","4",6.02,"1",114,5,1,"No","10","No","No","No","No",1,5,"No"
"1913",4817,"No",29,"Single","5",23.56,"10",110,1,1,"No","23","No","No","Yes","No",1,4,"No"
"1914",4797,"No",49,"United","5",23.56,"10",110,1,0,"No","23","No","No","No","No",1,3,"No"
"1915",4804,"No",43,"Single","3",4.55,"1",110,2,1,"No","22","No","No","No","No",0,1,"No"
"1916",4826,"No",46,"United","5",23.56,"10",110,1,0,"No","23","No","No","No","No",15,18,"No"
"1917",4830,"No",45,"Single","5",6.99,"1",109,1,0,"No","10","No","No","No","No",0,2,"No"
"1918",4831,"No",32,"United","5",13.17,"10",109,1,2,"No","23","No","No","Yes","Yes",0,2,"Yes"
"1919",1863,"No",47,"Single","2",6.99,"1",87,1,0,"No","30","No","No","No","No",4,13,"No"
"1920",4845,"No",33,"United","5",12.51,"10",109,1,0,"No","23","No","No","Yes","Yes",1,6,"Yes"
"1921",4863,"No",53,"United","5",12.51,"10",109,1,1,"No","23","No","No","No","No",2,8,"No"
"1922",4867,"No",30,"Single","4",30.95,"10",109,1,0,"No","23","No","No","No","No",2,8,"No"
"1923",4896,"No",46,"Desunited","5",26.6,"1",109,4,0,"No","20","No","No","Yes","Yes",0,1,"Yes"
"1924",5001,"No",49,"United","5",4.27,"1",109,1,0,"No","5","No","No","No","No",7,18,"No"
"1925",5002,"No",32,"United","5",9.18,"1",109,1,0,"No","16","No","No","No","Yes",1,5,"Yes"
"1926",5022,"No",29,"Single","3",6.68,"1",108,2,0,"No","13","Yes","No","Yes","No",5,13,"Yes"
"1927",5041,"No",34,"Single","3",8.27,"1",108,2,1,"No","1","Yes","No","No","No",33,38,"No"
"1928",5047,"No",43,"Single","3",5.47,"1",108,1,0,"No","13","Yes","No","No","Yes",5,14,"No"
"1929",5080,"No",52,"Single","5",39.98,"10",108,1,0,"No","23","No","No","No","No",2,7,"No"
